Timestamp,vehicle_id,stamp.nanoseconds,data._d,data.direct_control.motor_throttle,data.direct_control.steering_servo,data.speed_curvature.speed,data.speed_curvature.curvature,data.trajectory_segment.start_point.t.nanoseconds,data.trajectory_segment.start_point.px,data.trajectory_segment.start_point.py,data.trajectory_segment.start_point.vx,data.trajectory_segment.start_point.vy,data.trajectory_segment.end_point.t.nanoseconds,data.trajectory_segment.end_point.px,data.trajectory_segment.end_point.py,data.trajectory_segment.end_point.vx,data.trajectory_segment.end_point.vy
1539614088900197998,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614088920677998,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614088940336998,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614088964310998,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614088980355998,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089000339000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089020145000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089040308000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089060623000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089080527000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089100724000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089120233000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089140572000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089160475000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089180198000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089200513000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089220207000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089240406000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089260573000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089280356000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089300203000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089320235000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089340492999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089360253000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089380567999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089400193999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089420223999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089440596999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089460495999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089480407999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089500155999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089520219999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089540490999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089560572999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089580453999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089600171999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089620231999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089640236999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089660662999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089680484999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089700174999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089720159999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089740560999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089760635998,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089780472998,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089800232998,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089820171998,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089840644998,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089860637998,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089880188998,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089900525998,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089920479998,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089940473998,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089960560998,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614089980519998,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090000234000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090020466000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090040459000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090060168000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090080563000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090100541000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090120390000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090140226000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090161423000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090180435000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090200469000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090220424000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090240220000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090260357000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090280164000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090300484000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090320494000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090340219999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090360396999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090380157000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090400214000,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090420351999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090440149999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
1539614090460441999,0,0,0,-0.0000000000,-0.0285644531,0,0,0,0,0,0,0,0,0,0,0,0
