Timestamp,vehicle_id,stamp.nanoseconds,pose.x,pose.y,pose.yaw,odometer_distance,imu_acceleration_forward,imu_acceleration_left,speed,battery_voltage,motor_current
1539705351971058998,0,1539705351960152424,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3300000000,0.0000000000,0.0000000000,7.8751575000,0.0000000000
1539705351993407998,0,1539705351980116262,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3300000000,0.0000000000,0.0000000000,7.8751575000,0.0000000000
1539705352010998000,0,1539705352000139099,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3100000000,0.0100000000,0.0000000000,7.8751575000,0.0000000000
1539705352031606000,0,1539705352020105937,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3500000000,0.0100000000,0.0000000000,7.8751575000,0.0000000000
1539705352048461000,0,1539705352040106774,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3300000000,0.0000000000,0.0000000000,7.8751575000,0.0000000000
1539705352068242000,0,1539705352060081612,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3300000000,0.0100000000,0.0000000000,7.8751575000,0.0000000000
1539705352088204000,0,1539705352080103449,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3300000000,0.0100000000,0.0000000000,7.8751575000,0.0000000000
1539705352148290000,0,1539705352140085962,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3500000000,0.0000000000,0.0000000000,7.8634906000,0.0000000000
1539705352170346000,0,1539705352160084799,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3300000000,0.0000000000,0.0000000000,7.8634906000,0.0000000000
1539705352189514000,0,1539705352180082637,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3600000000,0.0000000000,0.0000000000,7.8868244000,0.0000000000
1539705352210694000,0,1539705352200083474,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3300000000,0.0000000000,0.0000000000,7.8868244000,0.0000000000
1539705352228270000,0,1539705352220083312,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3500000000,0.0000000000,0.0000000000,7.8751575000,0.0000000000
1539705352248477000,0,1539705352240085149,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3300000000,0.0000000000,0.0000000000,7.8751575000,0.0000000000
1539705352267936000,0,1539705352260081987,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3500000000,0.0000000000,0.0000000000,7.8751575000,0.0000000000
1539705352288258000,0,1539705352280083824,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3400000000,0.0100000000,0.0000000000,7.8751575000,0.0000000000
1539705352310149000,0,1539705352300081662,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3300000000,0.0000000000,0.0000000000,7.8751575000,0.0000000000
1539705352327914000,0,1539705352320084499,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3300000000,0.0000000000,0.0000000000,7.8751575000,0.0000000000
1539705352349589000,0,1539705352340104337,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3400000000,0.0000000000,0.0000000000,7.8634906000,0.0000000000
1539705352368288999,0,1539705352360086174,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3400000000,0.0000000000,0.0000000000,7.8751575000,0.0000000000
1539705352408652999,0,1539705352400090849,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3300000000,0.0000000000,0.0000000000,7.8751575000,0.0000000000
1539705352428497999,0,1539705352420082687,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3500000000,0.0100000000,0.0000000000,7.8751575000,0.0000000000
1539705352453950999,0,1539705352440084524,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3300000000,0.0100000000,0.0000000000,7.8751575000,0.0000000000
1539705352468845999,0,1539705352460083362,0.0000000000,0.0000000000,1.6875152205,22.2669789227,0.3100000000,0.0100000000,0.0000000000,7.8751575000,0.0000000000
