Table Name: vehicleState$RecordAll$domain0, Topic Name: vehicleState
Timestamp,vehicle_id,header.create_stamp.nanoseconds,header.valid_after_stamp.nanoseconds,pose.x,pose.y,pose.yaw,IPS_update_age_nanoseconds,odometer_distance,imu_acceleration_forward,imu_acceleration_left,speed,battery_voltage,motor_current
1551289949863175998,12,1551289949840000000,1551289949900000000,1.9117886763,1.6963310409,0.4385530745,40000000,331.5316159240,0.1000000000,-0.2800000000,0.0000000000,8.1201624000,0.0000000000
1551289949889057998,12,1551289949880000000,1551289949940000000,1.9117886763,1.6963310409,0.4385530745,40000000,331.5316159240,0.0900000000,-0.2400000000,0.0000000000,8.1201624000,0.0000000000
1551289949910017998,12,1551289949900000000,1551289949960000000,1.9117886763,1.6963310409,0.4385530745,40000000,331.5316159240,0.0800000000,-0.2500000000,0.0000000000,8.1201624000,0.0000000000
1551289949928684998,12,1551289949920000000,1551289949980000000,1.9117886763,1.6963310409,0.4385530745,40000000,331.5316159240,0.0900000000,-0.2600000000,0.0000000000,8.1084955000,0.0000000000
1551289949950567998,12,1551289949940000000,1551289950000000000,1.9117886763,1.6963310409,0.4385530745,40000000,331.5316159240,0.0900000000,-0.2500000000,0.0000000000,8.1201624000,0.0000000000
1551289949969773998,12,1551289949960000000,1551289950020000000,1.9117886763,1.6963310409,0.4385530745,40000000,331.5316159240,0.0700000000,-0.2500000000,0.0000000000,8.1318293000,0.0000000000
1551289949989658998,12,1551289949980000000,1551289950040000000,1.9117886763,1.6963310409,0.4385530745,40000000,331.5316159240,0.1000000000,-0.2500000000,0.0000000000,8.1318293000,0.0000000000
1551289950009864000,12,1551289950000000000,1551289950060000000,1.9117886763,1.6963310409,0.4385530745,40000000,331.5316159240,0.1100000000,-0.2700000000,0.0000000000,8.1318293000,0.0000000000
1551289950029693000,12,1551289950020000000,1551289950080000000,1.9117886763,1.6963310409,0.4385530745,60000000,331.5316159240,0.1000000000,-0.2600000000,0.0000000000,8.1201624000,0.0000000000
1551289950050620000,12,1551289950040000000,1551289950100000000,1.9117886763,1.6963310409,0.4385530745,60000000,331.5316159240,0.0900000000,-0.2500000000,0.0000000000,8.1318293000,0.0000000000
