Table Name: vehicleObservation$RecordAll$domain0, Topic Name: vehicleObservation
Timestamp,vehicle_id,header.create_stamp.nanoseconds,header.valid_after_stamp.nanoseconds,pose.x,pose.y,pose.yaw
1551289949846609998,12,1551289949820000000,1551289949820000000,1.9117886763,1.6963310409,0.4385530745
1551289949867967998,12,1551289949840000000,1551289949840000000,1.9117886763,1.6963310409,0.4385530745
1551289949887169998,12,1551289949860000000,1551289949860000000,1.9117886763,1.6963310409,0.4385530745
1551289949904402998,12,1551289949880000000,1551289949880000000,1.9117886763,1.6963310409,0.4385530745
1551289949930877998,12,1551289949900000000,1551289949900000000,1.9117886763,1.6963310409,0.4385530745
1551289949945817998,12,1551289949920000000,1551289949920000000,1.9117886763,1.6963310409,0.4385530745
1551289949962207998,12,1551289949940000000,1551289949940000000,1.9117886763,1.6963310409,0.4385530745
1551289949982081998,12,1551289949960000000,1551289949960000000,1.9117886763,1.6963310409,0.4385530745
1551289950001665000,12,1551289949960000000,1551289949960000000,1.9117886763,1.6963310409,0.4385530745
1551289950021403000,12,1551289949980000000,1551289949980000000,1.9117886763,1.6963310409,0.4385530745
1551289950041193000,12,1551289950000000000,1551289950000000000,1.9117886763,1.6963310409,0.4385530745
1551289950060745000,12,1551289950020000000,1551289950020000000,1.9117886763,1.6963310409,0.4385530745
1551289950090240000,12,1551289950040000000,1551289950040000000,1.9117886763,1.6963310409,0.4385530745
1551289950108593000,12,1551289950060000000,1551289950060000000,1.9117886763,1.6963310409,0.4385530745
1551289950126708000,12,1551289950080000000,1551289950080000000,1.9117886763,1.6963310409,0.4385530745
1551289950145254000,12,1551289950100000000,1551289950100000000,1.9117886763,1.6963310409,0.4385530745
1551289950163724000,12,1551289950120000000,1551289950120000000,1.9117886763,1.6963310409,0.4385530745
1551289950185357000,12,1551289950140000000,1551289950140000000,1.9117886763,1.6963310409,0.4385530745
1551289950204536000,12,1551289950160000000,1551289950160000000,1.9117886763,1.6963310409,0.4385530745
1551289950220970000,12,1551289950180000000,1551289950180000000,1.9117886763,1.6963310409,0.4385530745
1551289950242441000,12,1551289950200000000,1551289950200000000,1.9117886763,1.6963310409,0.4385530745
1551289950264559000,12,1551289950220000000,1551289950220000000,1.9117886763,1.6963310409,0.4385530745
1551289950280543000,12,1551289950240000000,1551289950240000000,1.9117886763,1.6963310409,0.4385530745
1551289950302166000,12,1551289950260000000,1551289950260000000,1.9117886763,1.6963310409,0.4385530745
1551289950318777000,12,1551289950280000000,1551289950280000000,1.9117886763,1.6963310409,0.4385530745
1551289950342681000,12,1551289950300000000,1551289950300000000,1.9117886763,1.6963310409,0.4385530745
1551289950362165999,12,1551289950320000000,1551289950320000000,1.9117886763,1.6963310409,0.4385530745
1551289950382321999,12,1551289950340000000,1551289950340000000,1.9117496985,1.6953556162,0.4385530745
1551289950402227999,12,1551289950360000000,1551289950360000000,1.9117886763,1.6963310409,0.4385530745
1551289950420830999,12,1551289950380000000,1551289950380000000,1.9117886763,1.6963310409,0.4385530745
1551289950440818999,12,1551289950400000000,1551289950400000000,1.9117886763,1.6963310409,0.4385530745
1551289950460102999,12,1551289950420000000,1551289950420000000,1.9117886763,1.6963310409,0.4385530745
1551289950482835999,12,1551289950440000000,1551289950440000000,1.9117886763,1.6963310409,0.4385530745
1551289950498839999,12,1551289950460000000,1551289950460000000,1.9117886763,1.6963310409,0.4385530745
1551289950520303999,12,1551289950480000000,1551289950480000000,1.9117886763,1.6963310409,0.4385530745
1551289950537670999,12,1551289950500000000,1551289950500000000,1.9117886763,1.6963310409,0.4385530745
1551289950557729999,12,1551289950520000000,1551289950520000000,1.9117886763,1.6963310409,0.4385530745
1551289950577172999,12,1551289950540000000,1551289950540000000,1.9117886763,1.6963310409,0.4385530745
1551289950597103999,12,1551289950560000000,1551289950560000000,1.9117886763,1.6963310409,0.4385530745
1551289950615307999,12,1551289950580000000,1551289950580000000,1.9117886763,1.6963310409,0.4385530745
1551289950635127999,12,1551289950600000000,1551289950600000000,1.9117886763,1.6963310409,0.4385530745
1551289950660820999,12,1551289950620000000,1551289950620000000,1.9117886763,1.6963310409,0.4385530745
1551289950680351999,12,1551289950640000000,1551289950640000000,1.9117886763,1.6963310409,0.4385530745
1551289950697109999,12,1551289950660000000,1551289950660000000,1.9117886763,1.6963310409,0.4385530745
1551289950716801999,12,1551289950680000000,1551289950680000000,1.9117886763,1.6963310409,0.4385530745
1551289950743948998,12,1551289950700000000,1551289950700000000,1.9117886763,1.6963310409,0.4385530745
1551289950759223999,12,1551289950720000000,1551289950720000000,1.9117886763,1.6963310409,0.4385530745
1551289950776958998,12,1551289950740000000,1551289950740000000,1.9117886763,1.6963310409,0.4385530745
1551289950799564998,12,1551289950760000000,1551289950760000000,1.9117886763,1.6963310409,0.4385530745
1551289950820554998,12,1551289950780000000,1551289950780000000,1.9117886763,1.6963310409,0.4385530745
1551289950834832998,12,1551289950800000000,1551289950800000000,1.9117886763,1.6963310409,0.4385530745
1551289950856518998,12,1551289950820000000,1551289950820000000,1.9117886763,1.6963310409,0.4385530745
1551289950874357998,12,1551289950840000000,1551289950840000000,1.9117886763,1.6963310409,0.4385530745
1551289950894213998,12,1551289950860000000,1551289950860000000,1.9117886763,1.6963310409,0.4385530745
1551289950913491998,12,1551289950880000000,1551289950880000000,1.9117886763,1.6963310409,0.4385530745
1551289950932344998,12,1551289950900000000,1551289950900000000,1.9117886763,1.6963310409,0.4385530745
1551289950950838998,12,1551289950920000000,1551289950920000000,1.9117886763,1.6963310409,0.4385530745
1551289950974828998,12,1551289950940000000,1551289950940000000,1.9117886763,1.6963310409,0.4385530745
1551289950992834998,12,1551289950960000000,1551289950960000000,1.9117886763,1.6963310409,0.4385530745
1551289951009864000,12,1551289950980000000,1551289950980000000,1.9117886763,1.6963310409,0.4385530745
1551289951035972000,12,1551289951000000000,1551289951000000000,1.9117886763,1.6963310409,0.4385530745
1551289951058954000,12,1551289951020000000,1551289951020000000,1.9117886763,1.6963310409,0.4385530745
1551289951076073000,12,1551289951040000000,1551289951040000000,1.9117886763,1.6963310409,0.4385530745
1551289951094831000,12,1551289951060000000,1551289951060000000,1.9117886763,1.6963310409,0.4385530745
1551289951114017000,12,1551289951080000000,1551289951080000000,1.9117886763,1.6963310409,0.4385530745
1551289951132544000,12,1551289951100000000,1551289951100000000,1.9117886763,1.6963310409,0.4385530745
1551289951148823000,12,1551289951120000000,1551289951120000000,1.9117886763,1.6963310409,0.4385530745
1551289951166981000,12,1551289951140000000,1551289951140000000,1.9117886763,1.6963310409,0.4385530745
1551289951193404000,12,1551289951160000000,1551289951160000000,1.9117886763,1.6963310409,0.4385530745
1551289951213986000,12,1551289951180000000,1551289951180000000,1.9117886763,1.6963310409,0.4385530745
1551289951232743000,12,1551289951200000000,1551289951200000000,1.9117886763,1.6963310409,0.4385530745
1551289951247714000,12,1551289951220000000,1551289951220000000,1.9117886763,1.6963310409,0.4385530745
1551289951269778000,12,1551289951240000000,1551289951240000000,1.9117886763,1.6963310409,0.4385530745
1551289951288025000,12,1551289951260000000,1551289951260000000,1.9117886763,1.6963310409,0.4385530745
1551289951307874000,12,1551289951280000000,1551289951280000000,1.9117886763,1.6963310409,0.4385530745
1551289951327226000,12,1551289951300000000,1551289951300000000,1.9117886763,1.6963310409,0.4385530745
1551289951346050000,12,1551289951320000000,1551289951320000000,1.9117886763,1.6963310409,0.4385530745
1551289951369403000,12,1551289951340000000,1551289951340000000,1.9117886763,1.6963310409,0.4385530745
1551289951389651999,12,1551289951360000000,1551289951360000000,1.9117886763,1.6963310409,0.4385530745
1551289951412777999,12,1551289951380000000,1551289951380000000,1.9117886763,1.6963310409,0.4385530745
1551289951431805999,12,1551289951400000000,1551289951400000000,1.9117886763,1.6963310409,0.4385530745
1551289951445825999,12,1551289951420000000,1551289951420000000,1.9117886763,1.6963310409,0.4385530745
1551289951467867999,12,1551289951440000000,1551289951440000000,1.9117886763,1.6963310409,0.4385530745
1551289951486930999,12,1551289951460000000,1551289951460000000,1.9117886763,1.6963310409,0.4385530745
1551289951505009999,12,1551289951480000000,1551289951480000000,1.9117886763,1.6963310409,0.4385530745
1551289951529792999,12,1551289951500000000,1551289951500000000,1.9117886763,1.6963310409,0.4385530745
1551289951547080999,12,1551289951520000000,1551289951520000000,1.9117886763,1.6963310409,0.4385530745
1551289951566406999,12,1551289951540000000,1551289951540000000,1.9117886763,1.6963310409,0.4385530745
1551289951585270999,12,1551289951560000000,1551289951560000000,1.9117886763,1.6963310409,0.4385530745
1551289951606452999,12,1551289951560000000,1551289951560000000,1.9117886763,1.6963310409,0.4385530745
1551289951625168999,12,1551289951580000000,1551289951580000000,1.9117886763,1.6963310409,0.4385530745
1551289951645611999,12,1551289951600000000,1551289951600000000,1.9117886763,1.6963310409,0.4385530745
1551289951670572999,12,1551289951620000000,1551289951620000000,1.9117886763,1.6963310409,0.4385530745
1551289951688599999,12,1551289951640000000,1551289951640000000,1.9117886763,1.6963310409,0.4385530745
1551289951709089999,12,1551289951660000000,1551289951660000000,1.9117886763,1.6963310409,0.4385530745
1551289951726849999,12,1551289951680000000,1551289951680000000,1.9117886763,1.6963310409,0.4385530745
1551289951745809998,12,1551289951700000000,1551289951700000000,1.9117886763,1.6963310409,0.4385530745
1551289951761718999,12,1551289951720000000,1551289951720000000,1.9117886763,1.6963310409,0.4385530745
1551289951784419998,12,1551289951740000000,1551289951740000000,1.9117886763,1.6963310409,0.4385530745
1551289951804578998,12,1551289951760000000,1551289951760000000,1.9117886763,1.6963310409,0.4385530745
1551289951825708998,12,1551289951780000000,1551289951780000000,1.9117886763,1.6963310409,0.4385530745
1551289951840855998,12,1551289951800000000,1551289951800000000,1.9117886763,1.6963310409,0.4385530745
1551289951861949998,12,1551289951820000000,1551289951820000000,1.9117886763,1.6963310409,0.4385530745
1551289951882723998,12,1551289951840000000,1551289951840000000,1.9117886763,1.6963310409,0.4385530745
1551289951902945998,12,1551289951860000000,1551289951860000000,1.9117886763,1.6963310409,0.4385530745
1551289951923501998,12,1551289951880000000,1551289951880000000,1.9117886763,1.6963310409,0.4385530745
1551289951944413998,12,1551289951900000000,1551289951900000000,1.9117886763,1.6963310409,0.4385530745
1551289951958831998,12,1551289951920000000,1551289951920000000,1.9117886763,1.6963310409,0.4385530745
1551289951977620998,12,1551289951940000000,1551289951940000000,1.9117886763,1.6963310409,0.4385530745
1551289951997258998,12,1551289951960000000,1551289951960000000,1.9117886763,1.6963310409,0.4385530745
1551289952021642000,12,1551289951980000000,1551289951980000000,1.9117886763,1.6963310409,0.4385530745
1551289952036973000,12,1551289952000000000,1551289952000000000,1.9117886763,1.6963310409,0.4385530745
1551289952056128000,12,1551289952020000000,1551289952020000000,1.9117886763,1.6963310409,0.4385530745
1551289952079262000,12,1551289952040000000,1551289952040000000,1.9117886763,1.6963310409,0.4385530745
1551289952098236000,12,1551289952060000000,1551289952060000000,1.9117886763,1.6963310409,0.4385530745
1551289952117946000,12,1551289952080000000,1551289952080000000,1.9117886763,1.6963310409,0.4385530745
1551289952144770000,12,1551289952100000000,1551289952100000000,1.9117886763,1.6963310409,0.4385530745
